No,20240318,20240319,20240320,20240321,20240322,20240325,20240326,20240327,20240328,20240329,20240401,20240402,20240403,20240404,20240405,20240408,20240409,20240410,20240411,20240412,20240415,20240416,20240417,20240418,20240419,20240422,20240423,20240424,20240425,20240426,20240429,20240430,20240501,20240502,20240503,20240506,20240507,20240508,20240509,20240510,20240513,20240514,20240515,20240516,20240517,20240520,20240521,20240522,20240523,20240524,20240527,20240528,20240529,20240530,20240531,20240603,20240604,20240605,20240606,20240607,20240610,20240611,20240612,20240613,20240614,20240617,20240618,20240619,20240620,20240621,20240624,20240625,20240626,20240627,20240628,20240701,20240702,20240703,20240704,20240705,20240708,20240709,20240710,20240711,20240712,20240715,20240716,20240717,20240718,20240719,20240722,20240723,20240724,20240725,20240726,20240729,20240730,20240731,20240801,20240802,20240805,20240806,20240807,20240808,20240809,20240812,20240813,20240814,20240815,20240816,20240819,20240820,20240821,20240822,20240823,20240826,20240827,20240828,20240829,20240830,20240902,20240903,20240904,20240905,20240906,20240909,20240910,20240911,20240912,20240913,20240916,20240917,20240918,20240919,20240920,20240923,20240924,20240925,20240926,20240927,20240930,20241001,20241002,20241003,20241004,20241007,20241008,20241009,20241010,20241011,20241014,20241015,20241016,20241017,20241018,20241021,20241022,20241023,20241024,20241025,20241028,20241029,20241030,20241031,20241101,20241104,20241105,20241106,20241107,20241108,20241111,20241112,20241113,20241114,20241115,20241118,20241119,20241120,20241121,20241122,20241125,20241126,20241127,20241128,20241129,20241202,20241203,20241204,20241205,20241206,20241209,20241210,20241211,20241212,20241213,20241216,20241217,20241218,20241219,20241220,20241223,20241224,20241225,20241226,20241227,20241230,20241231,20250101,20250102,20250103,20250106,20250107,20250108,20250109,20250110,20250113,20250114,20250115,20250116,20250117,20250120,20250121,20250122,20250123,20250124,20250127,20250128,20250129,20250130,20250131,20250203,20250204,20250205,20250206,20250207,20250210,20250211,20250212,20250213,20250214,20250217,20250218,20250219,20250220,20250221,20250224,20250225,20250226,20250227,20250228,20250303,20250304,20250305,20250306,20250307,20250310,20250311,20250312,20250313,20250314,20250317,20250318
1,POSCO홀딩스,에코프로머티,위메이드,삼성물산,SK,삼성SDI,에코프로비엠,에코프로,동원산업,코스모화학,롯데케미칼,신세계,현대홈쇼핑,하나마이크론,S-Oil,HLB테라퓨틱스,이수앱지스,,엔켐,이오테크닉스,에이디테크놀로지,한국타이어앤테크놀로지,,에스티아이,원텍,메가스터디교육,한국철강,쌍용C&E,제주은행,광주신세계,GKL,티에스이,,진에어,한온시스템,,리노공업,CJ대한통운,제일기획,넷마블,한샘,HD현대마린솔루션,,CJ,효성티앤씨,LS,LX인터내셔널,LG생활건강,OCI홀딩스,삼성에스디에스,두산밥캣,솔브레인,현대비앤지스틸,아모레G,아모레퍼시픽,잇츠한불,동국제약,HL만도,,원익QnC,솔브레인홀딩스,삼아알미늄,한화솔루션,한미반도체,SKC,포스코인터내셔널,롯데에너지머티리얼즈,기아,한국가스공사,GS,한국가스공사,콜마비앤에이치,포스코인터내셔널,현대차,이수페타시스,에스엘,이노스페이스,이랜텍,제이앤티씨,,바이오니아,삼성전자,삼성전자,SK하이닉스,두산로보틱스,대우건설,LG이노텍,삼성전기,한전기술,디케이티,,LG전자,신성통상,,갤럭시아머니트리,셀트리온,셀트리온,삼성E&A,휠라홀딩스,,,한양증권,넥슨게임즈,넷마블,웨스트라이즈,진원생명과학,시프트업,,,,에스디바이오센서,현대해상,DB손해보험,뷰노,아세아시멘트,신한지주,GS건설,,동아쏘시오홀딩스,에이프로젠바이오로직스,이엔셀,종근당,,롯데정밀화학,,한화갤러리아,한국콜마,,,DB금융투자,,,,바이넥스,에스티팜,삼양홀딩스,씨에스윈드,,코스메카코리아,차이커뮤니케이션,제닉스,,맵스리얼티1,,HK이노엔,HS효성첨단소재,LG에너지솔루션,,동원시스템즈,대웅제약,중앙첨단소재,유한양행,TKG휴켐스,한진칼,한미약품,한진칼,한진칼,,,프레스티지바이오로직스,YG PLUS,한화인더스트리얼솔루션즈,한미사이언스,맥쿼리인프라,오리온홀딩스,쇼박스,유바이오로직스,,더본코리아,에스원,알테오젠,우리기술투자,미래에셋벤처투자,넥스트칩,펩트론,,디지털대성,네이처셀,,,,한국전력,삼성생명,SK텔레콤,대한항공,엔씨소프트,KB금융,KT&G,고려아연,롯데렌탈,안랩,동신건설,동서,KB발해인프라,DI동일,브이티,루닛,현대그린푸드,에스와이스틸텍,온코닉테라퓨틱스,더블유게임즈,현대엘리베이,,신성델타테크,,녹십자,,,,엘앤씨바이오,디앤디파마텍,보령,신세계 I&C,,신세계 I&C,지누스,위메이드맥스,산일전기,,LS에코에너지,,HD현대미포,비츠로셀,SNT모티브,HD현대일렉트릭,,,,,현대글로비스,GRT,,에스피지,NAVER,크래프톤,씨메스,현대무벡스,아이에스티이,HD현대중공업,에이치브이엠,삼성바이오로직스,두산에너빌리티,필옵틱스,LS ELECTRIC,두산,우리금융지주,한국카본,삼성카드,하이브,스튜디오드래곤,,한화오션,HD한국조선해양,LIG넥스원,보로노이,HMM,엠앤씨솔루션,휴젤,SK이노베이션,파마리서치,기업은행,한화에어로스페이스
2,현대모비스,SK아이이테크놀로지,제우스,LG,SK바이오사이언스,LG화학,카카오,레고켐바이오,가온칩스,제주반도체,F&F,LX세미콘,아이엠비디엑스,대덕전자,삼성엔지니어링,흥아해운,,,넥센타이어,지노믹트리,에이엘티,,,테스,,에스피소프트,헬릭스미스,와이아이케이,아스트,나이스정보통신,디아이티,제일엠앤에스,,고려제강,파라다이스,,유진테크,금호타이어,삼화콘덴서,팬오션,CJ4우(전환),코미코,,풍산,커넥트웨이브,대한전선,세경하이테크,박셀바이오,DL,감성코퍼레이션,CJ ENM,LS머트리얼즈,이베스트투자증권,큐로셀,덕산네오룩스,제이에스코퍼레이션,인터플렉스,한국석유,,이엔에프테크놀로지,빙그레,후성,대주전자재료,코스모신소재,강원에너지,농심,피엔티,심텍,DB하이텍,실리콘투,디아이,백산,CJ제일제당,코스맥스,씨앤씨인터내셔널,솔루스첨단소재,,,시노펙스,,어보브반도체,사조대림,삼천당제약,SK스퀘어,LG디스플레이,오스코텍,제룡전기,KCC,KCC글라스,,,에스와이,마크로젠,,환인제약,갤럭시아머니트리,펌텍코리아,삼표시멘트,STX중공업,,,,동양생명,퀀타매트릭스,케이에스피,일양약품,웹젠,,,,씨젠,제이시스메디칼,현대해상,일동제약,세방,하나금융지주,CJ CGV,,,,아이스크림미디어,롯데정밀화학,,쿠쿠홀딩스,,피노,조광피혁,,,인벤티지랩,,,,,영풍,,HK이노엔,,,엠에스오토텍,,,브랜드엑스코퍼레이션,,바이오다인,영풍정밀,에코앤드림,,,대웅,서울반도체,퓨쳐켐,SGC에너지,코아스템켐온,동아에스티,태성,한올바이오파마,,,,사조산업,,프레스티지바이오파마,하이트진로홀딩스,탑런토탈솔루션,,한국화장품제조,,,한국쉘석유,리가켐바이오,,동아지질,,SG,,,,,,,아시아나IDT,LG유플러스,인카금융서비스,지역난방공사,컴투스,삼성생명,,한화투자증권,,,에이텍,일성건설,노머스,비보존 제약,메디포스트,한국앤컴퍼니,서희건설,SG글로벌,,휴메딕스,한일홀딩스,,코엔텍,,,,,,퓨런티어,엑스게이트,,오리엔트바이오,,제닉,,,,,경동나비엔,,파크시스템스,하이록코리아,대영포장,일진전기,,,,,BNK금융지주,,,쏠리드,HD현대,SK바이오팜,한국기업평가,삼양엔씨켐,,HD현대건설기계,로체시스템즈,화승엔터프라이즈,레인보우로보틱스,HD현대마린엔진,디어유,유일로보틱스,한국금융지주,아이쓰리시스템,카페24,NH투자증권,올릭스,,와이지엔터테인먼트,NICE평가정보,삼양식품,이마트,한화,클로봇,젬백스,HD현대인프라코어,한화비전,KT,삼성중공업
3,포스코퓨처엠,더블유씨피,티에프이,롯데지주,현대미포조선,엘앤에프,HLB,카카오게임즈,HLB이노베이션,엔젤로보틱스,동진쎄미켐,엘브이엠씨홀딩스,,기가비스,ISC,큐라클,,,자람테크놀로지,디와이피엔에프,,,,롯데이노베이트,,샌즈랩,,제이브이엠,코리아에프티,,동국제강,케이지에코솔루션,,AP시스템,이노션,,엠씨넥스,BGF리테일,네오위즈,세방전지,알멕,미원상사,,세아베스틸지주,아세아,대한유화,조일알미늄,샘씨엔에스,코오롱인더,매일유업,효성첨단소재,우진엔텍,에이에스텍,,한세실업,,대성에너지,제이엘케이,,딥노이드,유니드,에스바이오메딕스,에프에스티,와이씨,SPC삼립,롯데에너지머티리얼즈,롯데웰푸드,OCI,넥스틴,롯데손해보험,미코,나노팀,에이피알,쿠쿠홈시스,대한해운,SOOP,,,미래에셋생명,,한독,HB테크놀러지,현대오토에버,키움증권,금호석유,우리기술,PI첨단소재,F&F홀딩스,한전산업,,,서울바이오시스,동구바이오제약,,,에이치에스효성,삼아제약,윈팩,LX홀딩스,,,,,케이에스피,,오성첨단소재,우리바이오,,,,하이트진로,한화손해보험,메디톡스,에이프로젠,,대우건설,E1,,,,M83,한국토지신탁,,모나용평,,,,,,,,,,,GS글로벌,,SK오션플랜트,,,,,,부국증권,,삼목에스폼,,폰드그룹,,,마이크로디지탈,한세예스24홀딩스,에이프릴바이오,에이스침대,제넥신,제넥신,동아에스티,,,,,,,비즈니스온,KSS해운,,,윈스,,,,DS단석,,,,,,,,,,,한미글로벌,GS리테일,,,,삼성화재,,인카금융서비스,,,,,,방림,이스트소프트,코나아이,아티스트유나이티드,,,GS피앤엘,서희건설,,대한제강,,,,,,,드림시큐리티,,,,,,,,,보광산업,,성광벤드,,,티웨이항공,,,,,로보티즈,,,인화정공,LG씨엔에스,케어젠,솔트룩스,토모큐브,,전진건설로봇,대아티아이,엠아이텍,현대건설,남양유업,가온전선,동방메디컬,현대지에프홀딩스,HL홀딩스,풀무원,클래시스,우주일렉트로,,아스테라시스,SNT에너지,DN오토모티브,아시아나항공,SNT다이내믹스,원익홀딩스,세아제강지주,DL이앤씨,코오롱생명과학,한국항공우주,기업은행
4,포스코DX,에코프로에이치엔,텔레칩스,한화생명,아프리카TV,셀트리온제약,카카오뱅크,코스모화학,KH바텍,필에너지,호텔신라,바텍,,해성디에스,원익IPS,아이엠티,,,NICE,,,,,에코마케팅,,크레버스,,와이엠티,,,큐리옥스바이오시스템즈,한양디지텍,,와이씨켐,현대퓨처넷,,모트렉스,파트론,엠씨넥스,솔루엠,비츠로테크,한글과컴퓨터,,커넥트웨이브,다원시스,한글과컴퓨터,KPX홀딩스,파인엠텍,에스에프에이,CR홀딩스,두산퓨얼셀,수산인더스트리,엘앤케이바이오,,롯데관광개발,,에이팩트,,,키다리스튜디오,퍼시스,락앤락,백광산업,백광산업,토니모리,오뚜기,피에스케이홀딩스,이엠텍,대상홀딩스,덕산테코피아,아나패스,,데브시스터즈,화신,이녹스첨단소재,하나머티리얼즈,,,유니셈,,,포니링크,펄어비스,테크윙,유진투자증권,사람인,비에이치,LX하우시스,,,,,,,,,,,스카이문스테크놀로지,,,,,,,,,,,,제이시스메디칼,영진약품,아세아시멘트,,,HDC현대산업개발,한선엔지니어링,,,,에이프로젠바이오로직스,,,,,,,,,,,,,,JW홀딩스,,대봉엘에스,,,,,,,,브랜드엑스코퍼레이션,,,,,,한국제지,삼일제약,인스코비,대화제약,이연제약,루미르,,,,,,,DB,,,,래몽래인,,,,,,,,,,,,,,,,에스와이스틸텍,,,,삼성증권,,컴투스홀딩스,,,,,,,컴투스홀딩스,,쓰리빌리언,,,아티스트스튜디오,,,예스코홀딩스,,,,,,,아톤,,,,,,,,,,,현대힘스,,,비에이치아이,,,,,액션스퀘어,,,,효성중공업,솔트룩스,에치에프알,,,켄코아에어로스페이스,현대에버다임,에이럭스,에이비엘바이오,피아이이,오름테라퓨틱,모티브링크,위너스,엘케이켐,SNT홀딩스,JYP Ent.,바이오솔루션,,엣지파운드리,태광,교보증권,현대백화점,대진첨단소재,,에스티큐브,한일시멘트,브릿지바이오테라퓨틱스,코웨이,현대로템
5,금양,씨아이에스,코리아써키트,한솔케미칼,SK케미칼,HPSP,카카오게임즈,명신산업,오로스테크놀로지,골프존,롯데쇼핑,엑시콘,,한솔아이원스,주성엔지니어링,아이씨디,,,위지윅스튜디오,,,,,티이엠씨,,,,한국전자금융,,,태웅,,,와이솔,민테크,,에어부산,에스에이엠티,KG에코솔루션,선익시스템,타이거일렉,자화전자,,켐트로닉스,유나이티드제약,서부T&D,노바텍,조선내화,SK이터닉스,조선내화,효성,HD현대에너지솔루션,,,애경산업,,한국석유,,,,한일현대시멘트,이녹스,클리오,아이패밀리에스씨,JTC,롯데칠성,티씨케이,아이티엠반도체,스틱인베스트먼트,미코,청담글로벌,,HB솔루션,상아프론테크,인선이엔티,코아시아,,,LS증권,,,,아이센스,서진시스템,,우진,유안타증권,대원제약,,,,,,,,,,,한국공항,,,,,,,,,,,,신풍제약,월덱스,티디에스팜,,,JW홀딩스,슈프리마,,,,,,,,,,,,,,,,,,녹십자웰빙,,,,,,,,,,흥구석유,,,,,,,블루엠텍,나이벡,제테마,와이제이링크,인스피언,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JB금융지주,,,,,,,,,큐브엔터,,,,,온코닉테라퓨틱스,,,덱스터,,,,,,,,,,,,,,,,,,케이프,,,제일일렉트릭,,,,,,,,,더존비즈온,,에스오에스랩,,,,,,DGB금융지주,휴림로봇,LF,대덕,,,교촌에프앤비,에스엠,넥써쓰,,화승인더,현대코퍼레이션,HJ중공업,태광산업,,,,HDC,에스앤디,미래에셋증권,한화시스템
6,카카오페이,드림텍,광동제약,TCC스틸,아이에스동서,HLB생명과학,메지온,케이엠더블유,AJ네트웍스,신성이엔지,덴티움,미래반도체,,케이씨,SFA반도체,,,,한국정보통신,,,,,에이피티씨,,,,,,,세아홀딩스,,,,케이알엠,,제일전기공업,티엘비,디앤씨미디어,SM C&C,,젬백스링크,,풍산홀딩스,아이씨티케이,폴라리스오피스,,,미원에스씨,이지홀딩스,일진하이솔루스,슈어소프트테크,,,,,씨싸이트,,,,뉴파워프라즈마,,잉글우드랩,강원에너지,해태제과식품,파두,클리오,아주IB투자,하이비젼시스템,코세스,파세코,,서연이화,그리드위즈,경농,아바텍,,,,,,,한중엔시에스,케이씨텍,,,세진중공업,BGF에코머티리얼즈,,,,,,,,,,,,,,,,,,,,,,,바이오노트,인크레더블버즈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,셀루메드,,,,,,,예스24,,셀비온,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,강원랜드,,,,,,,,,일신석재,,,,,,,,,,,,,,,,,,,,,,,,,,,,,안트로젠,,,,,,,,,하이젠알앤엠,,한국무브넥스,,,,,,고영,지엔씨에너지,,레드캡투어,,,,신영증권,,,,대동기어,,교보증권,,,,파미셀,,오리온,코오롱티슈진
7,현대제철,롯데정보통신,일성신약,현대위아,현대바이오,레고켐바이오,하나투어,예스티,이노와이어리스,신흥에스이씨,대덕전자,비씨엔씨,,한국콜마홀딩스,SK디스커버리,,,,케이엔솔,,,,,글로벌텍스프리,,,,,,,KG ETS,,,,,,코칩,,일진다이아,,,KEC,,대원전선,톱텍,코오롱ENP,,,유티아이,,인텔리안테크,도화엔지니어링,,,,,,,,,다날,,브이엠,삼화전기,선진뷰티사이언스,대상,케이카,하이비젼시스템,코오롱글로벌,삼양패키징,,,국도화학,콜마홀딩스,,헥토파이낸셜,,,,,,,성신양회,피에스케이,,,사람인,라파스,,,,,,,,,,,,,,,,,,,,,,,바디텍메드,동국씨엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한전KPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,엠로,,와이즈넛,,,,,,STX엔진,,,,,,,펨트론,,,,,,지아이이노베이션,,,,넵튠,,SK가스,한화엔진
8,이수스페셜티케미컬,탑머티리얼,상신이디피,에스앤에스텍,대신증권,HLB제약,NHN,부광약품,씨티씨바이오,인텍플러스,제주항공,코어라인소프트,,미래반도체,두산테스나,,,,미래컴퍼니,,,,,모두투어,,,,,,,대원강업,,,,,,,,,,,HDC랩스,,AP위성,삼화페인트,폴라리스AI,,,노브랜드,,유니테스트,동원개발,,,,,,,,,에이비온,,락앤락,마녀공장,넥센,동원F&B,삼양사,토비스,,아이마켓코리아,,,코세스,풍원정밀,,노바렉스,,,,,,,,LS마린솔루션,,,,,,,,,,,,,,,,,,,,,,,,,,,휴마시스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,코리안리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,한국단자,,,,,,,,쎄트렉아이,,,,,,,,,,,,,진성티이씨,,,,파이버프로,,서울보증보험,영원무역
9,레이크머티리얼즈,큐렉소,다올투자증권,대신증권,성우하이텍,차바이오텍,녹십자홀딩스,석경에이티,HLB파나진,인바디,비올,아이디스,,CJ프레시웨이,휴온스,,,,콘텐트리중앙,,,,,,,,,,,,이엔플러스,,,,,,,,,,,동국홀딩스,,삼영무역,,효성화학,,,비나텍,,덕산하이메탈,범한퓨얼셀,,,,,,,,,싸이맥스,,광무,한양이엔지,미스터블루,하림,아이티엠반도체,아바코,,무림P&P,,,피에이치에이,제룡산업,,,,,,,,,,포니링크,,,,,,,,,,,,,,,,,,,,,,,,,,,랩지노믹스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,리파인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,모토닉,,,,,,,,RFHIC,,,,,,,,,,,,,,,,,SAMG엔터,,영원무역홀딩스,동성화인텍
10,나노신소재,인터로조,한국정보인증,하림지주,신라젠,율촌화학,JW중외제약,코미팜,상상인,HLB바이오스텝,신세계인터내셔날,,,한솔테크닉스,디엔에프,,,,일성아이에스,,,,,,,,,,,,,,,,,,,,,,,삼영전자,,대창단조,,이구산업,,,디알텍,,대명에너지,일진홀딩스,,,,,,,,,아모그린텍,,경동제약,와이랩,CJ씨푸드,농심홀딩스,대한제당,씨어스테크놀로지,,,,,워트,,,,,,,,,,,압타바이오,,,,,,,,,,,,,,,,,,,,,,,,,,,엑세스바이오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,와이팜,,,,,,,,넥스트바이오메디컬,,,,,,,,,,,,,,,,,,,엠앤씨솔루션,티앤엘
