기준일,종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액_현재,상장주식수,시가총액_52주최고,신고가
20250218,060310,3S,KOSDAQ,중견기업부,1915,18,0.95,1892,1985,1890,572142,11.0,1016.0,53059040,1016.0,True
20250218,095570,AJ네트웍스,KOSPI,,3970,0,0.0,3970,3985,3950,33627,1.3,1797.0,45252759,1797.0,True
20250218,006840,AK홀딩스,KOSPI,,10000,10,0.1,9990,10040,9950,4562,0.5,1325.0,13247561,1325.0,True
20250218,027410,BGF,KOSPI,,3465,15,0.43,3425,3470,3425,46539,1.6,3317.0,95716791,3317.0,True
20250218,282330,BGF리테일,KOSPI,,104700,600,0.58,103200,105000,102800,48485,50.4,18096.0,17283906,18096.0,True
20250218,126600,BGF에코머티리얼즈,KOSDAQ,우량기업부,2945,15,0.51,2900,2950,2900,44706,1.3,1848.0,62766899,1848.0,True
20250218,138930,BNK금융지주,KOSPI,,11680,80,0.69,11570,11690,11500,770353,89.6,37427.0,320436727,37427.0,True
20250218,001460,BYC,KOSPI,,27450,200,0.73,27400,27550,27350,662,0.2,1715.0,6246150,1715.0,True
20250218,013720,CBI,KOSDAQ,중견기업부,692,7,1.02,685,710,681,140894,1.0,309.0,44628136,309.0,True
20250218,035760,CJ ENM,KOSDAQ GLOBAL,중견기업부,55200,200,0.36,55000,55200,54400,67284,36.8,12105.0,21929154,12105.0,True
20250218,311690,CJ 바이오사이언스,KOSDAQ,기술성장기업부,9820,110,1.13,9700,9870,9660,15644,1.5,1283.0,13065462,1283.0,True
20250218,051500,CJ프레시웨이,KOSDAQ,우량기업부,21850,150,0.69,21900,21900,21550,16760,3.6,2594.0,11871586,2594.0,True
20250218,000480,CR홀딩스,KOSPI,,5460,0,0.0,5470,5510,5460,11567,0.6,2560.0,46890490,2560.0,True
20250218,065770,CS,KOSDAQ,벤처기업부,1743,28,1.63,1715,1774,1715,113814,2.0,338.0,19411130,338.0,True
20250218,083660,CSA 코스믹,KOSDAQ,중견기업부,692,5,0.73,689,733,680,354055,2.5,424.0,61247181,424.0,True
20250218,000590,CS홀딩스,KOSPI,,75400,200,0.27,75200,76200,75200,611,0.5,870.0,1154482,870.0,True
20250218,012030,DB,KOSPI,,1333,32,2.46,1301,1333,1301,325776,4.3,2682.0,201173933,2682.0,True
20250218,016610,DB금융투자,KOSPI,,5980,0,0.0,5980,6020,5790,115372,6.8,2538.0,42446389,2538.0,True
20250218,005830,DB손해보험,KOSPI,,103200,300,0.29,101700,103900,101300,112136,115.6,73066.0,70800000,73066.0,True
20250218,000990,DB하이텍,KOSPI,,45450,1150,2.6,44750,45950,43800,544830,246.4,20179.0,44398588,20179.0,True
20250218,139130,DGB금융지주,KOSPI,,9770,10,0.1,9770,9820,9640,790697,76.9,16526.0,169145833,16526.0,True
